region,province
Abruzzo,AQ
Abruzzo,CH
Abruzzo,PE
Abruzzo,TE
Basilicata,MT
Basilicata,PZ
Calabria,CS
Calabria,CZ
Calabria,KR
Calabria,RC
Calabria,VV
Campania,AV
Campania,BN
Campania,CE
Campania,NA
Campania,SA
Emilia-Romagna,BO
Emilia-Romagna,FC
Emilia-Romagna,FE
Emilia-Romagna,MO
Emilia-Romagna,PR
Emilia-Romagna,PC
Emilia-Romagna,RA
Emilia-Romagna,RE
Emilia-Romagna,RN
Friuli-Venezia Giulia,GO
Friuli-Venezia Giulia,PN
Friuli-Venezia Giulia,TS
Friuli-Venezia Giulia,UD
Lazio,FR
Lazio,LT
Lazio,RI
Lazio,RM
Lazio,VT
Liguria,GE
Liguria,IM
Liguria,SP
Liguria,SV
Lombardia,BG
Lombardia,BS
Lombardia,CO
Lombardia,CR
Lombardia,LC
Lombardia,LO
Lombardia,MB
Lombardia,MI
Lombardia,MN
Lombardia,PV
Lombardia,SO
Lombardia,VA
Marche,AN
Marche,AP
Marche,FM
Marche,MC
Marche,PU
Molise,CB
Molise,IS
Piemonte,AL
Piemonte,AT
Piemonte,BI
Piemonte,CN
Piemonte,NO
Piemonte,TO
Piemonte,VB
Piemonte,VC
Puglia,BA
Puglia,BR
Puglia,BT
Puglia,FG
Puglia,LE
Puglia,TA
Sardegna,CA
Sardegna,SS
Sardegna,OR
Sardegna,NU
Sardegna,OT
Sardegna,VS
Sardegna,CI
Sardegna,OG
Sicilia,AG
Sicilia,CL
Sicilia,CT
Sicilia,EN
Sicilia,ME
Sicilia,PA
Sicilia,RG
Sicilia,SR
Sicilia,TP
Toscana,AR
Toscana,FI
Toscana,GR
Toscana,LI
Toscana,LU
Toscana,MS
Toscana,PI
Toscana,PO
Toscana,PT
Toscana,SI
Trentino-Alto Adige,BZ
Trentino-Alto Adige,TN
Umbria,PG
Umbria,TR
Valle d'Aosta,AO
Veneto,BL
Veneto,PD
Veneto,RO
Veneto,TV
Veneto,VE
Veneto,VI
Veneto,VR
